Longitud,Latitud,Valor
-57.51900,-25.24000,23.30000
-49.26700,-25.41700,19.00000
-54.83300,-25.45000,22.30000
-56.40000,-25.46700,22.70000
-54.60000,-25.53300,23.30000
-54.48700,-25.59600,21.60000
-57.13300,-25.63300,23.30000
-54.46700,-25.73300,21.40000
-56.43300,-25.76700,22.80000
-56.36700,-26.18300,22.50000
-58.22800,-26.21300,22.60000
-57.15000,-26.66700,21.90000
-60.48300,-26.73300,21.40000
-65.10500,-26.84100,20.00000
-58.31700,-26.85000,22.60000
-55.20000,-26.93300,21.60000
-52.61700,-27.11700,20.30000
-109.43300,-27.16700,21.00000
-70.41400,-27.29600,18.10000
-55.90000,-27.30000,22.10000
-55.97100,-27.38600,22.20000
-58.76200,-27.44600,21.50000
-59.05000,-27.45000,21.40000
-64.30000,-27.76700,20.80000
-65.75200,-28.59600,21.40000
-59.70000,-29.18300,20.50000
-66.81700,-29.38300,21.00000
-57.15200,-29.68900,20.30000
-57.03300,-29.78300,21.10000
-61.95000,-29.88300,19.50000
-63.68300,-29.90000,18.40000
-71.20000,-29.91700,14.00000
-51.14400,-29.94600,20.40000
-57.58300,-30.26700,20.40000
-57.65000,-30.26700,20.00000
-66.28300,-30.36700,20.30000
-56.52000,-30.40000,19.60000
-55.47600,-30.97500,18.60000
-57.99700,-31.29700,19.00000
-64.21700,-31.31700,17.40000
-57.96700,-31.43300,19.60000
-68.41800,-31.57100,18.30000
-63.88300,-31.66700,17.50000
-55.98300,-31.70000,18.60000
-60.48300,-31.78300,18.60000
-65.14600,-31.94500,18.70000
-58.03300,-32.33300,19.70000
-54.18300,-32.35000,18.40000
-57.63300,-32.68300,18.60000
-62.15800,-32.68400,17.20000
-56.51700,-32.80000,18.30000
-68.78300,-32.83300,17.60000
-60.78500,-32.90400,17.90000
-58.61300,-33.01000,18.30000
-68.41700,-33.08300,17.10000
-64.26100,-33.08500,16.70000
-54.38300,-33.21700,18.40000
-58.06700,-33.25000,18.20000
-66.35600,-33.27300,18.00000
-56.50000,-33.35000,18.30000
-70.78600,-33.39300,15.00000
-70.68300,-33.43300,15.30000
-75.81700,-33.63300,15.50000
-65.38700,-33.73000,16.10000
-63.36700,-34.13300,16.40000
-57.77100,-34.45600,18.60000
-54.30000,-34.48300,16.60000
-60.93100,-34.54600,16.30000
-58.41600,-34.55900,18.10000
-58.48300,-34.58300,18.60000
-68.40300,-34.58800,15.60000
-58.53600,-34.82200,17.10000
-56.03100,-34.83800,16.60000
-71.23300,-34.96700,16.90000
-57.89500,-34.97200,16.80000
-69.57400,-35.49400,12.50000
-63.75800,-35.69600,16.60000
-61.06700,-36.20000,16.20000
-57.73300,-36.35000,15.10000
-64.26600,-36.56700,15.90000
-72.03100,-36.58200,16.40000
-73.06300,-36.77300,12.90000
-59.88300,-36.83300,14.20000
-59.22800,-37.23700,13.60000
-57.58300,-37.93300,14.00000
-60.33000,-38.38700,15.00000
-62.16700,-38.73300,15.40000
-72.63300,-38.75000,11.50000
-68.13300,-38.95000,15.20000
-73.08600,-39.65000,13.10000
-73.05000,-40.60000,13.20000
-65.10000,-40.78300,15.50000
-63.00000,-40.86900,14.70000
-71.15800,-41.15100,8.70000
-68.73300,-41.25000,10.30000
-73.10000,-41.43300,10.30000
-71.53200,-41.94300,11.40000
-71.15000,-42.93300,8.80000
-65.26600,-43.20000,13.80000
172.53200,-43.48900,11.40000
147.14500,-43.48920,12.20000
-176.56700,-43.95000,11.50000
-72.10600,-45.59400,9.20000
-67.50000,-45.78300,13.30000
-71.70000,-45.91700,7.20000
168.33300,-46.41700,10.10000
51.85000,-46.43300,5.20000
-71.01700,-46.51700,9.50000
37.86700,-46.88300,6.00000
-65.90400,-47.73500,11.90000
-67.80300,-49.30700,9.90000
70.25000,-49.35000,5.00000
-72.05000,-50.26700,7.80000
166.30000,-50.48300,8.10000
-60.56700,-51.41700,3.50000
-69.28300,-51.61700,7.70000
-58.10000,-51.66700,3.30000
-58.44700,-51.82300,6.50000
-60.60000,-52.15000,4.10000
169.16700,-52.55000,7.20000
-70.96700,-53.00000,6.40000
73.40000,-53.01700,2.90000
73.71700,-53.10000,2.50000
-67.74900,-53.77800,6.20000
-38.05000,-54.00000,1.50000
-36.50000,-54.28300,2.50000
158.93700,-54.49900,5.00000
-68.29600,-54.84300,6.00000
-44.73300,-60.73300,-3.10000
-58.85000,-62.18300,-1.90000
-58.88300,-62.18300,-2.10000
-58.98300,-62.18300,-2.10000
-58.75000,-62.21700,-1.80000
-58.96700,-62.21700,-2.00000
-58.63300,-62.23300,-1.60000
-59.68300,-62.50000,-1.90000
-56.68300,-63.31700,-3.30000
-56.98300,-63.40000,-4.40000
-56.71700,-64.23300,-8.00000
-64.08300,-64.76600,-1.60000
-64.06700,-64.78300,-3.90000
-64.26700,-65.25000,-2.40000
113.06700,-65.85000,-11.00000
110.76700,-66.28300,-9.20000
110.51700,-66.28300,-9.30000
93.01700,-66.55000,-11.10000
140.01700,-66.66700,-10.80000
111.53300,-66.68300,-11.90000
139.83300,-66.71700,-14.00000
112.83300,-66.73300,-19.40000
-61.46700,-67.01700,-13.60000
138.73300,-67.40000,-24.90000
-68.11700,-67.56700,-3.80000
62.86700,-67.60000,-11.20000
45.85000,-67.66700,-9.40000
-67.13300,-68.11700,-4.20000
78.81700,-68.46700,-10.60000
77.95000,-68.58300,-10.00000
39.58300,-69.00000,-10.40000
76.36700,-69.36700,-10.20000
76.38300,-69.38300,-9.70000
73.70000,-69.75000,-14.60000
-8.25000,-70.66700,-16.20000
11.83300,-70.76700,-10.20000
11.75000,-70.76700,-10.80000
69.86700,-70.90000,-20.40000
-6.68300,-71.15000,-17.60000
-68.28300,-71.31700,-8.90000
148.65000,-71.65000,-29.00000
-2.80000,-71.70000,-17.20000
171.20000,-71.88300,-10.70000
2.38300,-72.01700,-17.10000
-60.16700,-72.20000,-16.40000
-13.15000,-73.11700,-19.30000
-127.05000,-73.20000,-9.00000
169.75000,-73.51700,-16.30000
160.65000,-73.63300,-36.20000
43.05000,-74.01700,-48.10000
164.10000,-74.70000,-14.90000
-71.48300,-74.80000,-19.50000
163.68300,-74.95000,-18.40000
0.00000,-75.00000,-41.00000
123.40000,-75.10000,-52.80000
123.36700,-75.11700,-49.70000
-26.21700,-75.45000,-19.30000
145.86700,-75.53300,-41.40000
-59.15000,-75.86700,-22.70000
168.38300,-76.13300,-12.00000
77.02000,-76.42000,-42.60000
162.96700,-76.71700,-15.30000
39.70000,-77.31700,-54.20000
163.68300,-77.41670,-16.00000
-34.61700,-77.86700,-13.10000
166.73300,-77.88330,-16.00000
170.81700,-77.90000,-22.00000
166.50000,-77.95000,-20.90000
106.86700,-78.45000,-54.80000
168.38300,-78.46700,-23.50000
166.65000,-78.55000,-21.40000
169.98300,-79.90000,-25.90000
165.11700,-79.95000,-22.20000
-178.60000,-79.98300,-28.00000
-119.40000,-80.00000,-25.90000
77.37000,-80.37000,-54.60000
-148.78300,-81.65000,-22.70000
-174.45000,-82.51700,-28.10000
-137.08300,-82.61700,-23.60000
-13.05000,-82.76700,-37.80000
-121.38300,-83.00000,-23.00000
174.16700,-83.13300,-23.10000
-115.81700,-84.60000,-22.30000
-87.88300,-85.20000,-29.90000
89.66700,-89.00000,-46.80000
-1.01700,-89.00000,-45.60000
0.00000,-90.00000,-48.50000
